customer_id,first_name,last_name,email,signup_date
1,Alice,Johnson,alice@gmail.com,2024-01-15
2,Bob,Smith,BOB@GMAIL.COM,2024/01/20
3,Charlie,Brown,charlie@example.com,15-01-2024
4,Alice,Johnson,alice@gmail.com,2024-01-15
5,Diana,Prince,diana.prince@yahoo.com,2024-02-10
6,Eve,Davis,,2024-02-15
7,Frank,Miller,frank@hotmail.com,2024/02/20
8,Grace,Lee,GRACE@EXAMPLE.COM,20-02-2024
9,Henry,Wilson,henry@gmail.com,
10,Iris,Taylor,iris@gmail.com,2024-03-05
11,Jack,Anderson,jack@gmail.com,2024-03-10
12,Kate,Thomas,kate.thomas@yahoo.com,2024/03/15
13,Leo,Jackson,leo@example.com,15-03-2024
14,Mia,White,mia@gmail.com,2024-03-20
15,Noah,Harris,NOAH@HOTMAIL.COM,2024-03-25
16,Olivia,Martin,olivia@gmail.com,
17,Peter,Thompson,peter@gmail.com,2024-04-01
18,Quinn,Garcia,quinn@example.com,2024-04-05
19,Rachel,Martinez,rachel@gmail.com,2024/04/10
20,Sam,Robinson,sam@gmail.com,2024-04-15
